"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls"
"1005","NC",190,"area_code_408","no","no",0,182.2,101,30.97,212.3,95,18.05,233,123,10.49,9.3,4,2.51,2
"1006","WA",118,"area_code_510","no","no",0,113,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2
"1007","AR",94,"area_code_408","no","no",0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0
"1008","KS",110,"area_code_510","no","no",0,208,69,35.36,95.1,94,8.08,178.5,129,8.03,8,11,2.16,1
"1009","IL",183,"area_code_510","no","no",0,108.3,87,18.41,183.6,116,15.61,176.6,109,7.95,13.5,2,3.65,0
"1010","KY",58,"area_code_415","no","no",0,247.2,116,42.02,303.7,103,25.81,105.4,94,4.74,9.3,2,2.51,2
"1011","MS",102,"area_code_510","yes","no",0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12,8,3.24,3
"1012","IA",64,"area_code_415","no","yes",43,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3,1
"1013","OR",97,"area_code_415","no","no",0,146,121,24.82,203,141,17.26,151.8,120,6.83,13.3,2,3.59,1
"1014","ME",57,"area_code_415","no","yes",33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3,2
"1015","GA",194,"area_code_510","no","no",0,193.3,106,32.86,169,150,14.37,225.2,122,10.13,11.8,4,3.19,0
"1016","NY",123,"area_code_415","no","no",0,123.2,104,20.94,190,117,16.15,170.3,95,7.66,12.9,5,3.48,4
"1017","OK",63,"area_code_415","no","no",0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,1
"1018","NE",129,"area_code_510","no","yes",30,177.3,95,30.14,211.8,102,18,240.2,108,10.81,9.3,7,2.51,3
"1019","ND",122,"area_code_408","no","no",0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1
"1020","VT",93,"area_code_408","no","no",0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0
"1021","DE",97,"area_code_510","no","no",0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0
"1022","MD",106,"area_code_415","no","no",0,208.3,89,35.41,169.4,67,14.4,102,90,4.59,15.9,4,4.29,3
"1023","UT",116,"area_code_415","no","yes",24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,1
"1024","ID",135,"area_code_510","no","no",0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0
"1025","WV",100,"area_code_415","no","no",0,166,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,1
"1026","SD",64,"area_code_415","no","no",0,174.5,98,29.67,180.2,103,15.32,179,89,8.06,10.7,2,2.89,2
"1027","ND",147,"area_code_408","yes","yes",35,157.5,109,26.78,189.6,67,16.12,227,76,10.22,11.1,2,3,3
"1028","UT",134,"area_code_415","no","no",0,258.8,85,44,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2
"1029","MI",105,"area_code_415","no","no",0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,0
"1030","TN",37,"area_code_415","no","no",0,221,126,37.57,204.5,110,17.38,118,98,5.31,6.8,3,1.84,4
"1031","RI",63,"area_code_415","no","no",0,180.5,126,30.69,230,98,19.55,232.5,73,10.46,10.6,3,2.86,0
"1032","SD",104,"area_code_408","no","no",0,200.2,92,34.03,118.7,87,10.09,236.6,65,10.65,6,6,1.62,2
"1033","HI",105,"area_code_510","no","no",0,125.4,116,21.32,261.5,95,22.23,241.6,104,10.87,11.4,9,3.08,2
"1034","MI",74,"area_code_415","no","no",0,124.8,114,21.22,133,121,11.31,160.3,85,7.21,10.6,7,2.86,3
"1035","AL",76,"area_code_415","no","no",0,179.2,85,30.46,222.9,66,18.95,188.2,113,8.47,12.4,2,3.35,0
"1036","KS",91,"area_code_408","yes","no",0,246.4,110,41.89,182,98,15.47,157.6,106,7.09,12.1,2,3.27,2
"1037","NC",101,"area_code_415","no","no",0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,11.5,6,3.11,5
"1038","SC",116,"area_code_408","no","no",0,288,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0
"1039","CO",131,"area_code_415","no","yes",23,170.8,145,29.04,236.7,93,20.12,294.5,100,13.25,12.7,1,3.43,1
"1040","FL",108,"area_code_510","no","no",0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,3
"1041","DC",101,"area_code_415","no","no",0,257.3,84,43.74,184.8,115,15.71,108.9,109,4.9,13.5,7,3.65,0
"1042","OK",15,"area_code_415","no","no",0,121.1,130,20.59,216,86,18.36,235.1,33,10.58,16.1,5,4.35,2
"1043","NM",188,"area_code_415","yes","yes",26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,1
"1044","NJ",136,"area_code_408","no","yes",27,187.7,84,31.91,221,147,18.79,145.7,110,6.56,10,4,2.7,3
"1045","NE",155,"area_code_408","no","yes",21,195.9,91,33.3,213.9,84,18.18,88.2,111,3.97,8.6,4,2.32,0
"1046","WY",116,"area_code_510","no","yes",12,221,108,37.57,151,118,12.84,179,80,8.06,9,6,2.43,2
"1047","IL",67,"area_code_415","no","no",0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0
"1048","OR",60,"area_code_415","no","no",0,207.8,109,35.33,123.5,112,10.5,291.6,115,13.12,5.7,9,1.54,0
"1049","ME",25,"area_code_510","no","no",0,242.6,69,41.24,209,117,17.77,219.7,82,9.89,14.4,6,3.89,2
"1050","WY",145,"area_code_408","no","no",0,229.6,82,39.03,138.1,103,11.74,250.8,109,11.29,3.3,3,0.89,1
"1051","WI",122,"area_code_510","no","yes",28,166,62,28.22,233.9,88,19.88,170.1,84,7.65,7.7,3,2.08,2
"1052","OR",64,"area_code_510","no","no",0,213.5,93,36.3,166.6,114,14.16,122,78,5.49,14.1,3,3.81,3
"1053","NV",92,"area_code_415","no","yes",44,152,95,25.84,274.9,73,23.37,162.4,121,7.31,10,1,2.7,2
"1054","MN",125,"area_code_415","yes","yes",29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17,6,4.59,1
"1055","KS",79,"area_code_415","no","no",0,177.9,83,30.24,167.3,84,14.22,223.7,142,10.07,15.2,8,4.1,0
"1056","DC",102,"area_code_415","no","no",0,186.8,92,31.76,173.7,123,14.76,250.9,131,11.29,9.7,4,2.62,2
"1057","UT",164,"area_code_510","no","no",0,192.1,95,32.66,249.8,94,21.23,132.6,100,5.97,7.3,3,1.97,3
"1058","MN",125,"area_code_415","no","no",0,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0
"1059","MA",145,"area_code_415","no","no",0,175.8,89,29.89,274.3,119,23.32,226.6,69,10.2,12.4,4,3.35,1
"1060","SC",209,"area_code_510","no","no",0,255.1,124,43.37,230.6,110,19.6,218,69,9.81,8.5,5,2.3,3
"1061","ME",193,"area_code_415","no","yes",31,71.2,58,12.1,124.7,105,10.6,155.5,108,7,11.7,3,3.16,0
"1062","NE",124,"area_code_510","no","no",0,191.3,134,32.52,261.5,113,22.23,182.3,111,8.2,10,3,2.7,1
"1063","DC",144,"area_code_415","no","no",0,133.3,101,22.66,255.5,127,21.72,228.6,68,10.29,11.6,2,3.13,0
"1064","WV",137,"area_code_510","no","yes",50,186.5,94,31.71,178,106,15.13,215.6,100,9.7,12.1,4,3.27,2
"1065","IL",142,"area_code_415","no","yes",38,163.3,104,27.76,136,114,11.56,249.1,127,11.21,4.3,6,1.16,0
"1066","OK",84,"area_code_510","no","no",0,203.4,125,34.58,182.9,88,15.55,213.7,121,9.62,13.8,2,3.73,1
"1067","NJ",182,"area_code_415","no","no",0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2
"1068","MI",86,"area_code_408","no","no",0,148.2,71,25.19,285.1,91,24.23,166.4,155,7.49,6.2,3,1.67,2
"1069","WY",122,"area_code_415","no","no",0,119.3,93,20.28,223.9,103,19.03,211.9,122,9.54,8.7,4,2.35,2
"1070","NJ",156,"area_code_408","no","yes",27,192.3,137,32.69,199.9,115,16.99,244.2,112,10.99,14.8,8,4,1
"1071","NM",158,"area_code_408","no","no",0,172.4,114,29.31,256.6,69,21.81,235.3,104,10.59,0,0,0,2
"1072","ID",109,"area_code_415","no","no",0,184.1,143,31.3,211.7,105,17.99,243,116,10.93,9.9,2,2.67,1
"1073","AL",88,"area_code_415","no","no",0,181.9,90,30.92,151.5,87,12.88,143,100,6.44,7.5,3,2.03,1
"1074","WY",101,"area_code_510","no","yes",9,160.1,116,27.22,210,121,17.85,139.1,65,6.26,10.8,9,2.92,0
"1075","HI",171,"area_code_510","no","no",0,189.8,122,32.27,173.7,85,14.76,257.1,84,11.57,10.3,1,2.78,0
"1076","DE",90,"area_code_415","no","no",0,198.5,124,33.75,266.6,100,22.66,243.3,80,10.95,8,7,2.16,2
"1077","MD",147,"area_code_408","no","no",0,274,92,46.58,231.8,82,19.7,283.6,83,12.76,6.2,1,1.67,0
"1078","AL",95,"area_code_415","no","no",0,229.9,116,39.08,202.4,110,17.2,171.4,105,7.71,14.2,6,3.83,1
"1079","KS",186,"area_code_510","no","no",0,137.8,97,23.43,187.7,118,15.95,146.4,85,6.59,8.7,6,2.35,1
"1080","OH",134,"area_code_415","no","no",0,7.8,86,1.33,171.4,100,14.57,186.5,80,8.39,12.9,2,3.48,2
"1081","SC",107,"area_code_415","no","no",0,206.9,79,35.17,262.4,117,22.3,149.3,69,6.72,10.7,3,2.89,0
"1082","KS",123,"area_code_415","no","no",0,140,106,23.8,153.7,101,13.06,50.1,87,2.25,12.5,1,3.38,2
"1083","OK",35,"area_code_415","no","no",0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2
"1084","IN",130,"area_code_408","no","no",0,115.6,129,19.65,167.8,104,14.26,141.8,124,6.38,12.6,9,3.4,1
"1085","IL",137,"area_code_408","yes","no",0,237.3,103,40.34,176.7,84,15.02,263.4,81,11.85,14.2,4,3.83,0
"1086","TN",88,"area_code_415","no","no",0,181.5,116,30.86,187,119,15.9,220.3,96,9.91,10.5,7,2.84,1
"1087","NC",116,"area_code_408","no","yes",19,155.7,104,26.47,185.4,118,15.76,192.7,116,8.67,8.2,2,2.21,3
"1088","RI",123,"area_code_510","no","yes",23,245,88,41.65,265,105,22.53,239.7,108,10.79,14.9,3,4.02,2
"1089","MS",120,"area_code_415","no","no",0,131.7,99,22.39,163.1,109,13.86,201.1,116,9.05,10.7,3,2.89,1
"1090","VA",146,"area_code_415","yes","no",0,111.1,126,18.89,313.4,95,26.64,215.7,82,9.71,10.5,6,2.84,1
"1091","KY",106,"area_code_510","no","yes",9,88.5,100,15.05,324.8,109,27.61,79.9,86,3.6,8.2,4,2.21,3
"1092","NV",121,"area_code_408","no","yes",44,116,85,19.72,150.1,120,12.76,246.8,98,11.11,12,2,3.24,1
"1093","NH",84,"area_code_408","no","yes",30,106.5,65,18.11,225.7,108,19.18,188.6,61,8.49,5.7,3,1.54,2
"1094","WI",161,"area_code_408","no","no",0,154.7,84,26.3,177.8,125,15.11,172.9,90,7.78,5.9,2,1.59,4
"1095","ME",62,"area_code_415","yes","yes",32,218.4,93,37.13,236.7,132,20.12,192.2,137,8.65,13.2,3,3.56,0
"1096","WY",120,"area_code_415","no","yes",24,227.5,81,38.68,234.9,71,19.97,166.4,128,7.49,9,13,2.43,1
"1097","WI",20,"area_code_408","no","no",0,186.8,89,31.76,253.4,51,21.54,273.1,105,12.29,12.3,6,3.32,2
"1098","VT",68,"area_code_415","no","no",0,158.8,119,27,211.8,105,18,198.1,101,8.91,10.3,3,2.78,1
"1099","IN",108,"area_code_415","no","no",0,201.1,101,34.19,170.7,86,14.51,237.4,113,10.68,11.6,3,3.13,3
"1100","NC",129,"area_code_415","no","no",0,54.7,131,9.3,256.1,105,21.77,176.6,135,7.95,11.1,4,3,1
"1101","MN",30,"area_code_408","no","no",0,54,68,9.18,179.3,96,15.24,247.2,101,11.12,10.2,8,2.75,1
"1102","WV",70,"area_code_415","no","no",0,214.8,87,36.52,131,114,11.14,216.9,104,9.76,9.4,3,2.54,3
"1103","SD",52,"area_code_510","yes","no",0,251.4,118,42.74,196.6,80,16.71,192,53,8.64,11,2,2.97,0
"1104","HI",3,"area_code_408","no","no",0,139,99,23.63,250.7,108,21.31,286.2,87,12.88,6.1,3,1.65,4
"1105","MS",38,"area_code_415","no","no",0,117.3,114,19.94,208.7,105,17.74,203.4,98,9.15,14.4,2,3.89,2
"1106","SD",114,"area_code_415","no","yes",25,129,77,21.93,290,110,24.65,177.1,110,7.97,11.6,5,3.13,1
"1107","NH",90,"area_code_415","no","yes",42,193.3,66,32.86,263.3,85,22.38,214.4,97,9.65,11.1,4,3,0
"1108","WV",62,"area_code_415","no","no",0,189.5,122,32.22,103.8,95,8.82,180.6,106,8.13,10.8,5,2.92,2
"1109","NH",146,"area_code_510","no","no",0,115.6,77,19.65,213.6,100,18.16,218.4,72,9.83,10.7,6,2.89,1
"1110","IL",74,"area_code_510","no","yes",27,154.1,122,26.2,195.3,150,16.6,276.7,86,12.45,13.2,2,3.56,4
"1111","OR",81,"area_code_415","no","no",0,324.7,48,55.2,236.4,82,20.09,187.6,78,8.44,13.1,5,3.54,0
"1112","VA",99,"area_code_510","no","no",0,128.3,78,21.81,215.3,120,18.3,143.7,140,6.47,14.3,9,3.86,2
"1113","SD",131,"area_code_510","no","no",0,187.9,110,31.94,200.5,101,17.04,202.6,125,9.12,10.2,11,2.75,2
"1114","HI",99,"area_code_415","no","no",0,124.6,90,21.18,146.4,70,12.44,169.4,95,7.62,10.5,6,2.84,1
"1115","WV",139,"area_code_415","no","no",0,271.6,130,46.17,156,131,13.26,136.3,108,6.13,11.6,9,3.13,2
"1116","NM",96,"area_code_415","no","yes",33,183.3,115,31.16,201.4,87,17.12,177.4,84,7.98,10.4,15,2.81,3
"1117","SC",112,"area_code_415","no","no",0,266,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2
"1118","AZ",100,"area_code_510","no","no",0,78.7,98,13.38,225.6,102,19.18,150.4,106,6.77,14,8,3.78,0
"1119","RI",121,"area_code_510","no","yes",20,211.9,110,36.02,215.1,120,18.28,238.5,107,10.73,9.4,2,2.54,0
"1120","MD",125,"area_code_415","no","no",0,224.9,102,38.23,143.8,87,12.22,198.9,105,8.95,8,2,2.16,0
"1121","IN",156,"area_code_510","no","no",0,237.7,122,40.41,181.5,91,15.43,185.7,151,8.36,7.7,4,2.08,1
"1122","MN",90,"area_code_408","no","no",0,142.4,126,24.21,126.2,118,10.73,274.2,71,12.34,4.6,4,1.24,1
"1123","IA",123,"area_code_415","no","no",0,204.4,88,34.75,137.5,111,11.69,226,100,10.17,10,4,2.7,0
"1124","NM",81,"area_code_415","no","no",0,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2
"1125","CA",75,"area_code_415","no","yes",19,210.3,90,35.75,241.8,87,20.55,215.7,102,9.71,13.1,3,3.54,4
"1126","FL",153,"area_code_415","no","no",0,228.9,102,38.91,160.7,136,13.66,203.1,109,9.14,12.5,2,3.38,0
"1127","NH",97,"area_code_408","no","yes",32,90,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,2
"1128","WI",95,"area_code_408","no","no",0,237.3,83,40.34,154,65,13.09,237,105,10.67,11.2,6,3.02,1
"1129","TX",121,"area_code_415","no","no",0,86.1,100,14.64,259.8,113,22.08,148,79,6.66,9.1,9,2.46,2
"1130","CT",124,"area_code_415","no","no",0,151,98,25.67,120.6,119,10.25,152.8,81,6.88,9.2,2,2.48,2
"1131","NJ",35,"area_code_408","no","no",0,158.6,67,26.96,130.4,96,11.08,229.8,80,10.34,6.9,5,1.86,2
"1132","AR",185,"area_code_415","no","yes",19,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0
"1133","SC",1,"area_code_415","no","yes",26,146.6,68,24.92,172.8,67,14.69,173.8,113,7.82,10,2,2.7,1
"1134","MI",178,"area_code_408","yes","no",0,124.5,134,21.17,141.2,78,12,268.2,113,12.07,11.4,2,3.08,2
"1135","MA",123,"area_code_415","no","no",0,209.4,49,35.6,237.4,117,20.18,239.2,98,10.76,9.8,11,2.65,1
"1136","OR",134,"area_code_415","no","yes",50,208.8,130,35.5,132.9,104,11.3,136.7,107,6.15,11.1,4,3,2
"1137","TN",148,"area_code_415","no","yes",36,77.6,141,13.19,207,60,17.6,255.7,115,11.51,10.9,2,2.94,1
"1138","AZ",138,"area_code_415","no","no",0,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0
"1139","OR",159,"area_code_510","no","no",0,114.8,98,19.52,192.6,101,16.37,259,108,11.66,12.2,5,3.29,0
"1140","DE",103,"area_code_415","no","yes",34,138.8,80,23.6,142,108,12.07,183.8,77,8.27,11.8,7,3.19,1
"1141","AR",33,"area_code_415","yes","no",0,164,99,27.88,153.1,102,13.01,123.8,104,5.57,6.4,4,1.73,0
"1142","SD",55,"area_code_415","no","no",0,245.5,130,41.74,192.7,54,16.38,141.7,83,6.38,9.1,4,2.46,1
"1143","CT",107,"area_code_408","no","no",0,90.7,90,15.42,207.5,109,17.64,169.4,96,7.62,5.6,5,1.51,2
"1144","OH",136,"area_code_408","yes","no",0,183.4,103,31.18,141.9,113,12.06,200.4,122,9.02,10.4,9,2.81,2
"1145","MN",135,"area_code_408","no","no",0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3.8,9,1.03,3
"1146","OH",165,"area_code_510","no","no",0,209.4,67,35.6,273.8,89,23.27,150.2,88,6.76,12.8,1,3.46,0
"1147","NV",148,"area_code_415","no","no",0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2
"1148","WY",151,"area_code_415","no","no",0,170.2,89,28.93,187.5,83,15.94,119.5,100,5.38,4.3,3,1.16,0
"1149","WY",58,"area_code_510","no","no",0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,14.4,2,3.89,4
"1150","OK",104,"area_code_415","no","no",0,113.6,87,19.31,158.6,98,13.48,187.7,87,8.45,10.5,6,2.84,2
"1151","UT",44,"area_code_415","no","no",0,202.6,89,34.44,163,96,13.86,268.1,151,12.06,8.3,3,2.24,0
"1152","MA",58,"area_code_408","no","no",0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0,0,0,4
"1153","UT",108,"area_code_415","no","no",0,210.6,117,35.8,164.2,103,13.96,201.4,68,9.06,9.4,5,2.54,0
"1154","NE",80,"area_code_415","no","no",0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2
"1155","OH",162,"area_code_415","no","no",0,135.2,98,22.98,242,107,20.57,246.9,96,11.11,10.2,2,2.75,2
"1156","KY",110,"area_code_510","no","no",0,99.4,62,16.9,275,86,23.38,212.1,94,9.54,16.7,3,4.51,2
"1157","WA",96,"area_code_415","no","no",0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1
"1158","NY",168,"area_code_408","no","no",0,163.4,134,27.78,240.1,87,20.41,164,147,7.38,11.6,2,3.13,2
"1159","IN",72,"area_code_510","no","no",0,287.4,116,48.86,235.3,126,20,292.1,114,13.14,5,3,1.35,4
"1160","DC",170,"area_code_510","no","no",0,184.1,106,31.3,204.9,70,17.42,224.3,133,10.09,9.8,3,2.65,2
"1161","AK",71,"area_code_510","no","no",0,185,84,31.45,232.5,129,19.76,191.1,82,8.6,14.9,4,4.02,3
"1162","UT",97,"area_code_415","no","no",0,209.2,134,35.56,0,0,0,175.4,94,7.89,11.8,6,3.19,1
"1163","IL",98,"area_code_510","yes","no",0,158.4,71,26.93,306.6,66,26.06,144.2,93,6.49,2.1,4,0.57,1
"1164","DC",24,"area_code_408","no","no",0,149,73,25.33,131,81,11.14,238.6,69,10.74,8.6,3,2.32,2
"1165","DC",136,"area_code_510","no","no",0,204.5,63,34.77,208.8,95,17.75,224,119,10.08,9.8,2,2.65,0
"1166","HI",24,"area_code_415","no","no",0,156.2,104,26.55,90,101,7.65,205.1,116,9.23,7.3,5,1.97,1
"1167","PA",136,"area_code_408","no","no",0,102.1,75,17.36,219.5,97,18.66,73.7,92,3.32,9.8,5,2.65,0
"1168","UT",95,"area_code_415","no","no",0,157.9,103,26.84,259.6,90,22.07,230,117,10.35,14,2,3.78,0
"1169","OR",82,"area_code_415","no","yes",19,146.5,73,24.91,246.4,65,20.94,199,114,8.96,4.1,4,1.11,1
"1170","ND",145,"area_code_415","no","no",0,245.8,116,41.79,286.7,91,24.37,240.7,115,10.83,9,13,2.43,1
"1171","MN",155,"area_code_408","yes","no",0,250.8,146,42.64,152.5,105,12.96,148.1,104,6.66,10,5,2.7,2
"1172","OH",133,"area_code_408","no","no",0,117.8,100,20.03,199.2,105,16.93,244.1,119,10.98,11.8,4,3.19,0
"1173","TX",57,"area_code_415","no","no",0,161,113,27.37,208,134,17.68,208.1,81,9.36,8.4,4,2.27,3
"1174","NM",112,"area_code_415","no","no",0,81.6,94,13.87,268.1,112,22.79,140.8,75,6.34,8.6,18,2.32,1
"1175","MI",55,"area_code_415","no","yes",20,207.7,91,35.31,199.7,113,16.97,216.5,110,9.74,7.3,1,1.97,1
"1176","TX",1,"area_code_415","no","no",0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10,3,2.7,5
"1177","KY",98,"area_code_415","no","yes",36,168,81,28.56,163.2,125,13.87,172.7,120,7.77,8,2,2.16,6
"1178","ID",113,"area_code_415","no","yes",30,183.8,102,31.25,183.4,123,15.59,235,52,10.58,11.6,7,3.13,0
"1179","OR",99,"area_code_408","no","no",0,256.4,44,43.59,214.5,105,18.23,233.7,75,10.52,7.9,1,2.13,3
"1180","WI",103,"area_code_415","no","no",0,180.2,134,30.63,97.7,85,8.3,181.7,134,8.18,8.4,3,2.27,1
"1181","ND",90,"area_code_415","no","yes",22,124.5,94,21.17,231.7,90,19.69,222.2,108,10,6.4,12,1.73,1
"1182","MT",147,"area_code_415","no","yes",35,197.3,134,33.54,141.1,99,11.99,212.1,90,9.54,10.1,4,2.73,2
"1183","WV",80,"area_code_415","no","no",0,151.5,89,25.76,131.7,78,11.19,235.3,131,10.59,11.8,4,3.19,0
"1184","MT",132,"area_code_408","no","no",0,195.1,100,33.17,148.8,95,12.65,224.5,117,10.1,6.7,2,1.81,0
"1185","KS",84,"area_code_415","no","no",0,225.9,86,38.4,275.6,105,23.43,201.4,108,9.06,14.3,3,3.86,3
"1186","NY",46,"area_code_415","no","no",0,122.2,67,20.77,167.2,62,14.21,194.8,98,8.77,9.7,6,2.62,1
"1187","OR",89,"area_code_415","no","yes",12,188,105,31.96,151.3,107,12.86,201.9,132,9.09,10.5,3,2.84,2
"1188","NY",131,"area_code_408","yes","no",0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3
"1189","ID",47,"area_code_415","no","yes",28,172.9,109,29.39,137.6,94,11.7,203.8,109,9.17,8.3,6,2.24,1
"1190","MO",101,"area_code_415","yes","no",0,156.4,116,26.59,130.4,114,11.08,207.3,109,9.33,7.3,5,1.97,1
"1191","VT",128,"area_code_408","no","no",0,227.9,130,38.74,302.6,71,25.72,191.5,82,8.62,5.5,7,1.49,1
"1192","AZ",69,"area_code_415","no","yes",31,194.9,63,33.13,191.6,90,16.29,153,129,6.89,13.2,2,3.56,2
"1193","PA",87,"area_code_408","no","yes",30,262.8,114,44.68,215.8,130,18.34,154.8,88,6.97,7.8,2,2.11,0
"1194","CO",71,"area_code_415","no","no",0,211.2,70,35.9,252.7,122,21.48,225.8,104,10.16,12.3,3,3.32,0
"1195","WA",177,"area_code_415","no","no",0,266.1,91,45.24,225.2,79,19.14,224.7,58,10.11,8.9,8,2.4,3
"1196","RI",76,"area_code_415","no","no",0,171.1,78,29.09,257.2,83,21.86,91.6,92,4.12,16.2,3,4.37,1
"1197","OH",66,"area_code_415","no","no",0,170.5,103,28.99,254.3,77,21.62,197.3,138,8.88,10.5,2,2.84,2
"1198","MO",110,"area_code_415","no","no",0,178.5,124,30.35,146.9,141,12.49,217.1,102,9.77,9.9,7,2.67,1
"1199","MD",204,"area_code_510","no","no",0,205.2,145,34.88,154.8,95,13.16,191.4,77,8.61,14.1,5,3.81,3
"1200","FL",185,"area_code_408","no","no",0,55.6,97,9.45,288.7,83,24.54,111.2,110,5,12.1,3,3.27,2
"1201","CO",103,"area_code_415","no","yes",37,153.5,78,26.1,241.9,108,20.56,244.7,110,11.01,10.6,3,2.86,1
"1202","NY",91,"area_code_510","no","no",0,109.8,100,18.67,189.6,104,16.12,206.7,85,9.3,11.1,3,3,1
"1203","WV",131,"area_code_415","no","no",0,196.1,89,33.34,185.5,87,15.77,250,132,11.25,5.2,6,1.4,2
"1204","MA",132,"area_code_415","no","yes",25,113.2,96,19.24,269.9,107,22.94,229.1,87,10.31,7.1,7,1.92,2
"1205","UT",148,"area_code_510","no","no",0,203,92,34.51,150.9,125,12.83,245.5,131,11.05,14.6,9,3.94,1
"1206","ND",127,"area_code_415","no","yes",23,182,80,30.94,216.1,85,18.37,156.9,82,7.06,9.8,4,2.65,1
"1207","LA",123,"area_code_415","no","yes",33,146.6,87,24.92,114.8,59,9.76,220.4,99,9.92,2.9,7,0.78,0
"1208","MT",103,"area_code_510","no","yes",35,110.5,101,18.79,208.3,81,17.71,87.4,77,3.93,13.9,2,3.75,4
"1209","OR",101,"area_code_415","no","no",0,118.6,89,20.16,199.6,97,16.97,53.3,61,2.4,11.5,5,3.11,1
"1210","WV",101,"area_code_415","no","yes",28,220.3,96,37.45,285.8,72,24.29,203,111,9.14,9.4,6,2.54,4
"1211","MA",67,"area_code_415","no","yes",34,161.7,114,27.49,207.6,115,17.65,205.7,114,9.26,9.2,4,2.48,0
"1212","WV",173,"area_code_510","no","no",0,109.4,103,18.6,101.3,111,8.61,167.3,106,7.53,7.8,7,2.11,1
"1213","ME",88,"area_code_415","no","no",0,85.7,112,14.57,221.6,70,18.84,190.6,75,8.58,11.6,3,3.13,4
"1214","TX",112,"area_code_415","no","no",0,214.8,112,36.52,209.7,104,17.82,164.4,97,7.4,9.4,5,2.54,3
"1215","MD",176,"area_code_408","no","no",0,201.9,101,34.32,154.7,78,13.15,164.4,79,7.4,9,2,2.43,1
"1216","NM",105,"area_code_408","no","no",0,146.4,81,24.89,225.1,80,19.13,230.1,117,10.35,8.5,2,2.3,1
"1217","MN",57,"area_code_415","no","no",0,272.7,74,46.36,224.9,85,19.12,178.2,104,8.02,10.5,3,2.84,2
"1218","AZ",88,"area_code_415","no","no",0,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2
"1219","MS",115,"area_code_415","no","no",0,166.5,111,28.31,236.2,98,20.08,205.6,92,9.25,15.6,2,4.21,1
"1220","CA",82,"area_code_415","no","no",0,199.3,112,33.88,193.4,120,16.44,254.4,117,11.45,7,10,1.89,0
"1221","MD",141,"area_code_415","no","no",0,185.1,126,31.47,233,98,19.81,152.2,106,6.85,9.1,7,2.46,0
"1222","LA",94,"area_code_415","no","no",0,212.1,98,36.06,189.4,89,16.1,352.2,95,15.85,8.4,5,2.27,3
"1223","VA",90,"area_code_408","no","no",0,222,93,37.74,187,103,15.9,282.3,124,12.7,12.4,6,3.35,2
