"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","number_customer_service_calls","churn","vmail_flag","number"
"1406","NE",105,"area_code_415","no","yes",27,96,24,167.7,94,101,12.35,11.4,2,1,"no","yes",0.693147180559945
"1407","NV",115,"area_code_415","no","no",0,98,31.3,327,73,106,9.56,7.5,6,2,"no","no",1.79175946922805
"1408","OR",133,"area_code_415","no","no",0,71,24.45,184,131,132,12.4,12.9,4,3,"no","no",1.38629436111989
"1409","LA",163,"area_code_408","no","yes",23,126,38.08,233.5,89,104,13.23,8.8,4,1,"no","yes",1.38629436111989
"1410","AK",97,"area_code_415","no","yes",24,109,29.94,159.4,81,94,12.11,12.1,9,0,"no","yes",2.19722457733622
"1411","AR",81,"area_code_415","no","yes",17,94,45.58,156.1,124,90,7.22,13.6,5,2,"no","yes",1.6094379124341
"1412","DC",87,"area_code_415","no","yes",18,104,21.13,196.1,80,110,13.05,7.2,3,1,"no","yes",1.09861228866811
"1413","ND",166,"area_code_510","no","no",0,89,33.64,251,113,85,6.22,11.2,2,2,"no","no",0.693147180559945
"1414","IL",110,"area_code_408","no","no",0,117,12.67,200.8,98,101,8.65,9.8,7,3,"no","no",1.94591014905531
"1415","VA",102,"area_code_408","no","no",0,67,26.61,204.3,103,72,6.39,9.9,2,2,"no","no",0.693147180559945
"1416","SC",109,"area_code_415","no","no",0,74,37.83,169.7,75,94,11.89,9,3,2,"no","no",1.09861228866811
"1417","KY",112,"area_code_415","no","no",0,113,28.99,193.2,129,91,8.46,11.2,6,0,"no","no",1.79175946922805
"1418","TN",146,"area_code_408","yes","no",0,63,27.22,208.4,112,98,7.99,9.2,3,2,"no","no",1.09861228866811
"1419","VA",75,"area_code_415","no","no",0,116,38.2,192,79,98,9.55,11.3,11,3,"no","no",2.39789527279837
"1420","CT",25,"area_code_510","no","no",0,111,24.5,224.8,89,110,5.98,13.6,3,4,"yes","no",1.09861228866811
"1421","TX",28,"area_code_415","no","no",0,79,27.15,216.7,131,116,9.3,9.3,3,2,"no","no",1.09861228866811
"1422","ID",109,"area_code_415","no","no",0,104,33.22,204.9,91,95,10.36,14,4,0,"no","no",1.38629436111989
"1423","TN",72,"area_code_408","no","no",0,79,24.99,162.3,103,80,7.33,10.5,4,1,"no","no",1.38629436111989
"1424","WV",62,"area_code_408","no","no",0,111,21.88,169.5,104,97,8.71,10.3,5,1,"no","no",1.6094379124341
"1425","DC",79,"area_code_408","no","yes",25,95,37.23,241.9,95,102,9.15,5.6,5,4,"no","yes",1.6094379124341
"1426","OR",65,"area_code_408","yes","no",0,74,9.32,239.8,93,91,9.65,13.4,5,1,"yes","no",1.6094379124341
"1427","MA",132,"area_code_415","no","no",0,101,23.58,257.5,85,92,7.45,7.8,1,2,"no","no",0
"1428","DE",148,"area_code_415","no","no",0,83,21.15,179.7,81,99,11.39,11.3,6,0,"no","no",1.79175946922805
"1429","MD",189,"area_code_415","no","yes",30,116,26.38,195.5,50,108,7.65,15.4,6,1,"no","yes",1.79175946922805
"1430","NM",93,"area_code_415","no","no",0,70,40.77,251.8,99,112,7.59,10.9,10,1,"no","no",2.30258509299405
"1431","TX",110,"area_code_415","no","no",0,128,25.36,112.8,101,111,7.03,12.2,4,1,"no","no",1.38629436111989
"1432","NC",54,"area_code_408","no","no",0,94,33.97,308,112,99,7.32,10.1,4,0,"no","no",1.38629436111989
"1433","MA",80,"area_code_408","no","yes",36,115,32.35,256.6,78,145,9.67,3.8,4,1,"no","yes",1.38629436111989
"1434","OK",97,"area_code_415","no","no",0,107,25.77,155.4,96,112,10.8,14.7,4,1,"no","no",1.38629436111989
"1435","NE",63,"area_code_415","no","no",0,80,35.9,237.7,93,58,11.66,12.3,2,0,"no","no",0.693147180559945
"1436","NM",132,"area_code_408","no","no",0,107,28.88,209.4,121,79,9.27,11.5,2,1,"no","no",0.693147180559945
"1437","TX",130,"area_code_415","no","no",0,109,30.07,90.7,104,69,10.71,9.5,2,1,"no","no",0.693147180559945
"1438","ID",125,"area_code_408","no","no",0,98,29.9,192.8,148,110,12.52,10.6,5,0,"no","no",1.6094379124341
"1439","NH",149,"area_code_415","no","no",0,88,20.26,168.3,110,119,9.21,12.2,6,4,"yes","no",1.79175946922805
"1440","HI",115,"area_code_415","no","yes",33,72,24.65,194.5,157,138,10.9,14.2,3,2,"no","yes",1.09861228866811
"1441","RI",85,"area_code_415","yes","no",0,97,33.52,211.7,115,133,9.45,8.3,4,4,"no","no",1.38629436111989
"1442","AR",116,"area_code_510","no","no",0,69,27.32,146.8,106,144,12.95,8.2,5,0,"no","no",1.6094379124341
"1443","SD",108,"area_code_510","yes","no",0,84,46.9,203,91,108,9.51,6.7,4,2,"yes","no",1.38629436111989
"1444","DC",41,"area_code_408","no","yes",37,110,40.77,221.9,115,100,8.51,7.3,1,2,"no","yes",0
"1445","MT",48,"area_code_415","no","yes",36,92,39.25,167.6,121,87,12.15,7.6,4,3,"no","yes",1.38629436111989
"1446","MS",136,"area_code_415","no","yes",24,76,29.68,176.6,114,91,9.65,8.8,5,2,"no","yes",1.6094379124341
"1447","AZ",87,"area_code_510","no","no",0,91,18.85,158.5,115,131,9.34,6.2,5,1,"no","no",1.6094379124341
"1448","NM",132,"area_code_408","no","no",0,78,36.48,251.7,98,88,10.84,13.9,2,0,"no","no",0.693147180559945
"1449","DE",129,"area_code_510","no","no",0,118,56.83,192.1,104,83,8.59,10.4,6,0,"yes","no",1.79175946922805
"1450","VT",122,"area_code_415","no","no",0,115,23.24,243.1,137,110,8.5,8.6,4,0,"no","no",1.38629436111989
"1451","GA",75,"area_code_415","no","no",0,114,19.94,201.1,61,82,4.86,12.2,3,1,"no","no",1.09861228866811
"1452","WY",28,"area_code_415","no","no",0,94,31.93,248.6,86,124,9.4,10.6,5,0,"no","no",1.6094379124341
"1453","WV",102,"area_code_408","no","no",0,125,39.92,199.2,99,88,7.34,10,1,4,"no","no",0
"1454","WY",215,"area_code_510","no","no",0,148,14.21,120.9,91,110,10.2,10.7,9,0,"no","no",2.19722457733622
"1455","AR",115,"area_code_415","no","no",0,89,23.68,192.3,95,75,6.8,9.3,3,7,"yes","no",1.09861228866811
"1456","WY",104,"area_code_415","no","no",0,100,23.58,215.4,58,98,7.39,4.9,4,2,"no","no",1.38629436111989
"1457","NY",44,"area_code_510","no","no",0,77,24.34,169.8,114,77,9.71,7.6,4,1,"no","no",1.38629436111989
"1458","UT",133,"area_code_408","no","yes",44,80,29.58,209.4,113,87,10.08,14.1,7,2,"yes","yes",1.94591014905531
"1459","MT",50,"area_code_415","no","yes",22,112,42.99,177.9,99,146,7.13,8.5,4,3,"no","yes",1.38629436111989
"1460","ID",65,"area_code_408","no","yes",19,96,44.03,332.3,106,95,5.85,7.5,7,1,"no","yes",1.94591014905531
"1461","WI",85,"area_code_408","yes","no",0,107,28.12,196,126,110,15.71,9.6,7,2,"no","no",1.94591014905531
"1462","AR",156,"area_code_415","no","no",0,94,30.4,178.4,97,77,7.61,7.5,3,1,"no","no",1.09861228866811
"1463","AK",121,"area_code_415","no","no",0,126,34.66,267.3,107,72,9.99,10.5,2,3,"no","no",0.693147180559945
"1464","IL",53,"area_code_415","no","no",0,138,36.43,232.2,99,0,0,8.3,5,1,"no","no",1.6094379124341
"1465","VA",107,"area_code_510","no","yes",27,104,48.18,224.1,152,63,10.86,14.4,7,2,"no","yes",1.94591014905531
"1466","HI",150,"area_code_415","no","no",0,117,36.38,192.4,89,99,10.92,7.9,4,1,"no","no",1.38629436111989
"1467","RI",132,"area_code_415","yes","yes",18,86,22.22,186.1,98,103,9.22,11.9,6,0,"no","yes",1.79175946922805
"1468","ME",62,"area_code_510","no","no",0,100,35.92,228.4,91,77,9.77,6.3,5,0,"no","no",1.6094379124341
"1469","AK",127,"area_code_408","no","no",0,124,30.99,169.9,110,116,8.28,9.3,3,1,"no","no",1.09861228866811
"1470","ID",83,"area_code_415","no","no",0,104,27.08,202.3,98,73,10.31,9.5,3,2,"no","no",1.09861228866811
"1471","RI",93,"area_code_415","no","no",0,78,16.73,249.6,129,114,11.17,14.2,4,1,"no","no",1.38629436111989
"1472","MI",91,"area_code_415","no","no",0,165,26.25,168.3,121,81,10.8,11.7,4,5,"yes","no",1.38629436111989
"1473","RI",56,"area_code_415","no","no",0,112,38.42,248.5,118,142,6.32,6.9,11,1,"no","no",2.39789527279837
"1474","ME",119,"area_code_510","no","no",0,135,23.8,138.9,103,121,10.36,6.1,6,0,"no","no",1.79175946922805
"1475","OR",177,"area_code_408","no","no",0,77,14.43,257.5,109,66,9.47,7.5,5,2,"no","no",1.6094379124341
"1476","RI",152,"area_code_415","no","no",0,108,32.22,218.4,69,81,13.1,11,2,3,"no","no",0.693147180559945
"1477","SC",108,"area_code_415","no","no",0,78,33.56,124,101,107,9.2,7.7,4,2,"no","no",1.38629436111989
"1478","WA",62,"area_code_415","no","no",0,76,28.37,223.6,113,87,8.5,14.2,5,1,"no","no",1.6094379124341
"1479","MT",114,"area_code_510","no","no",0,101,32.27,147.7,80,121,7.77,10.6,5,1,"no","no",1.6094379124341
"1480","PA",119,"area_code_408","no","no",0,101,44.22,256.5,68,89,10.31,10,2,1,"yes","no",0.693147180559945
"1481","NH",127,"area_code_415","no","no",0,104,34.14,181.4,73,49,4.04,9.7,5,0,"no","no",1.6094379124341
"1482","KS",158,"area_code_415","yes","no",0,98,34,205.4,106,96,14.57,8.9,2,0,"yes","no",0.693147180559945
"1483","NY",112,"area_code_510","no","no",0,73,29.26,228,136,96,12.12,14.1,3,2,"no","no",1.09861228866811
"1484","LA",89,"area_code_415","no","no",0,92,23.99,249.1,126,73,6.12,10.8,2,2,"no","no",0.693147180559945
"1485","AR",110,"area_code_408","no","no",0,102,9.4,164.7,124,108,9.03,10.2,5,1,"no","no",1.6094379124341
"1486","IA",52,"area_code_510","no","yes",24,86,38.95,168.7,124,75,11.04,14.6,2,1,"no","yes",0.693147180559945
"1487","ME",57,"area_code_415","no","no",0,101,37.59,236.7,65,137,11.35,9.5,1,0,"no","no",0
"1488","AR",95,"area_code_415","no","yes",27,76,32.44,177.5,104,95,10.23,5.9,1,2,"no","yes",0
"1489","GA",160,"area_code_415","no","yes",29,121,27.98,262.8,108,131,5.57,15.2,4,1,"no","yes",1.38629436111989
"1490","FL",64,"area_code_408","no","yes",31,88,38.86,248.5,109,124,7.52,9,1,3,"no","yes",0
"1491","MI",105,"area_code_415","no","yes",29,113,30.5,275.4,100,105,11.07,10,5,0,"no","yes",1.6094379124341
"1492","WY",32,"area_code_408","no","no",0,82,29.1,185.6,102,64,9.15,10.2,7,1,"no","no",1.94591014905531
"1493","CO",121,"area_code_408","no","yes",30,129,33.73,75.3,77,77,8.15,5.8,3,3,"yes","yes",1.09861228866811
"1494","WA",107,"area_code_415","no","no",0,65,39.17,257.4,80,88,4.83,8.5,3,1,"no","no",1.09861228866811
"1495","NM",103,"area_code_408","no","no",0,111,18.34,166.9,129,78,9.38,9.7,3,1,"no","no",1.09861228866811
"1496","MI",102,"area_code_510","no","no",0,89,17.44,246,77,140,7.67,9.1,4,2,"no","no",1.38629436111989
"1497","MI",22,"area_code_408","no","no",0,65,30.6,207,106,111,8.23,8.3,6,1,"no","no",1.79175946922805
"1498","UT",89,"area_code_408","no","no",0,74,24.51,164.7,119,121,12.56,12.1,7,4,"yes","no",1.94591014905531
"1499","LA",153,"area_code_510","no","no",0,127,28.36,143.5,121,130,9.48,11.8,4,0,"no","no",1.38629436111989
"1500","KS",124,"area_code_510","no","no",0,84,42.02,161.9,130,73,7.66,6.1,6,1,"no","no",1.79175946922805
"1501","NJ",108,"area_code_415","no","yes",41,110,29.17,136.1,78,103,8.25,10.8,7,0,"no","yes",1.94591014905531
"1502","IL",91,"area_code_415","no","no",0,100,32.18,239.3,107,89,4.04,9.9,3,3,"no","no",1.09861228866811
"1503","ND",180,"area_code_415","no","no",0,105,38.23,250,101,73,9.72,6.7,5,3,"yes","no",1.6094379124341
"1504","AL",98,"area_code_510","no","no",0,77,29.22,235.3,90,125,6.31,14.6,4,2,"no","no",1.38629436111989
"1505","NY",112,"area_code_415","no","yes",23,79,48.72,315.3,102,101,8.73,10.3,6,1,"no","yes",1.79175946922805
"1506","NM",87,"area_code_415","no","no",0,92,28.59,224.7,100,99,7.63,12.9,3,1,"no","no",1.09861228866811
"1507","NJ",59,"area_code_510","no","no",0,58,33.15,198.5,88,110,13.69,14.8,9,0,"no","no",2.19722457733622
"1508","AZ",99,"area_code_415","no","no",0,87,33.69,207.3,76,113,8.59,8.7,3,4,"no","no",1.09861228866811
"1509","MS",59,"area_code_408","no","yes",27,110,21.66,103.3,99,73,7.39,9.1,3,0,"no","yes",1.09861228866811
"1510","WV",191,"area_code_408","no","no",0,104,27.54,241.2,120,83,9.47,10.9,7,1,"no","no",1.94591014905531
"1511","VT",106,"area_code_510","yes","no",0,100,33.44,210.2,109,83,7.82,7.8,1,4,"yes","no",0
"1512","IA",128,"area_code_408","no","no",0,75,27,264.8,91,77,12.15,7.6,7,1,"no","no",1.94591014905531
"1513","WY",111,"area_code_408","no","no",0,72,28.14,228.9,73,103,7.64,9.7,6,2,"no","no",1.79175946922805
"1514","ME",105,"area_code_415","no","no",0,102,26.61,140.2,134,111,10.23,12.2,2,2,"no","no",0.693147180559945
"1515","NM",178,"area_code_415","no","yes",35,88,29.82,190,65,94,6.24,10.5,3,2,"no","yes",1.09861228866811
"1516","KS",73,"area_code_408","no","no",0,112,33.12,167.2,85,61,4.51,10.8,6,1,"no","no",1.79175946922805
"1517","HI",101,"area_code_415","no","yes",24,95,19.4,161.5,86,90,7.93,13,9,2,"no","yes",2.19722457733622
"1518","AK",86,"area_code_408","no","no",0,85,25.64,295.9,88,104,11.12,12.5,1,1,"no","no",0
"1519","AL",100,"area_code_415","no","yes",26,80,33.61,232.6,83,120,8.85,12,5,1,"no","yes",1.6094379124341
"1520","VA",90,"area_code_415","no","no",0,118,17.34,113.3,134,105,8.49,11.4,3,2,"no","no",1.09861228866811
"1521","SC",183,"area_code_415","no","yes",31,126,36.02,224.3,125,125,10.18,13.8,2,1,"no","yes",0.693147180559945
"1522","VT",76,"area_code_408","no","no",0,124,35.45,173,117,95,9.95,9.8,3,0,"no","no",1.09861228866811
"1523","NY",138,"area_code_415","yes","no",0,96,44.39,170.9,120,89,3.2,0,0,3,"yes","no",-Inf
"1524","OH",75,"area_code_510","no","yes",27,102,19.98,206.8,127,114,8.75,4.2,7,3,"no","yes",1.94591014905531
"1525","NH",130,"area_code_415","no","no",0,105,36.23,206.2,108,93,7.35,8.9,3,0,"no","no",1.09861228866811
"1526","OK",146,"area_code_510","no","no",0,104,23.53,158.9,122,73,2.13,3.9,9,4,"yes","no",2.19722457733622
"1527","OH",141,"area_code_415","no","no",0,79,36.69,112.7,85,109,9.98,5.6,4,2,"no","no",1.38629436111989
"1528","AL",132,"area_code_408","no","no",0,85,37.81,165.4,76,97,9.38,11.2,4,0,"no","no",1.38629436111989
"1529","ME",119,"area_code_510","no","no",0,66,12.53,160.5,132,67,9.64,13,6,3,"no","no",1.79175946922805
"1530","MI",105,"area_code_510","no","no",0,109,23.9,178.6,51,83,9.76,6.8,3,2,"no","no",1.09861228866811
"1531","TN",114,"area_code_415","yes","no",0,72,34.12,271.2,79,97,8.47,13.4,7,2,"yes","no",1.94591014905531
"1532","NV",110,"area_code_408","no","yes",34,114,32.69,129.3,114,102,6.13,6.3,12,1,"no","yes",2.484906649788
"1533","OH",154,"area_code_415","no","yes",14,113,31.11,187,144,112,8.15,10.2,3,1,"no","yes",1.09861228866811
"1534","NE",169,"area_code_408","no","no",0,111,23.07,223,124,101,7.54,9.5,4,1,"no","no",1.38629436111989
"1535","MA",83,"area_code_510","no","no",0,81,45.68,145.5,100,86,8.35,9.4,6,0,"no","no",1.79175946922805
"1536","MT",101,"area_code_415","no","no",0,130,26.25,217.2,101,52,8.34,13.9,4,1,"no","no",1.38629436111989
"1537","AR",113,"area_code_510","no","yes",39,77,35.67,164.1,90,100,7.19,9,4,1,"no","yes",1.38629436111989
"1538","CA",151,"area_code_415","yes","no",0,57,37.06,114.4,88,95,12.11,12.4,1,0,"yes","no",0
"1539","WY",89,"area_code_415","no","no",0,99,19.62,209.9,115,112,12.64,15.9,6,3,"no","no",1.79175946922805
"1540","RI",114,"area_code_415","no","yes",23,95,31.65,258.3,129,93,8.28,7.8,6,0,"no","yes",1.79175946922805
"1541","MA",96,"area_code_415","no","no",0,111,29.56,287.4,105,91,9.22,9.1,7,1,"no","no",1.94591014905531
"1542","TX",104,"area_code_510","no","no",0,105,19.02,197.7,121,108,13.63,10.1,5,1,"no","no",1.6094379124341
"1543","VT",131,"area_code_415","no","yes",34,134,26.62,71,95,120,11.78,13.4,10,1,"no","yes",2.30258509299405
"1544","WV",124,"area_code_415","no","no",0,107,26.76,167.8,112,102,8.5,8.8,3,3,"no","no",1.09861228866811
"1545","LA",115,"area_code_415","no","yes",26,107,28.99,217.2,77,71,10.16,13.6,5,6,"no","yes",1.6094379124341
"1546","CT",66,"area_code_415","no","yes",29,104,39,257.4,84,119,10.42,8,1,2,"no","yes",0
"1547","IN",91,"area_code_415","no","no",0,73,49.18,179.8,86,94,8.4,6.4,7,1,"yes","no",1.94591014905531
"1548","TX",97,"area_code_415","yes","no",0,117,24.43,273,82,81,8.02,10.9,3,0,"no","no",1.09861228866811
"1549","DE",110,"area_code_510","no","no",0,115,25.25,276.4,84,112,8.71,12.4,3,1,"no","no",1.09861228866811
"1550","ND",82,"area_code_415","no","yes",29,77,27.85,134.9,112,95,3.57,8.8,2,2,"no","yes",0.693147180559945
"1551","MI",78,"area_code_510","no","no",0,109,23.36,237.6,49,136,9.3,14,11,3,"no","no",2.39789527279837
"1552","MS",162,"area_code_415","no","no",0,108,12.02,157.5,87,82,6.97,9.1,3,4,"yes","no",1.09861228866811
"1553","PA",91,"area_code_415","no","no",0,109,23.77,157,91,122,9.84,13.6,4,3,"no","no",1.38629436111989
"1554","KS",178,"area_code_415","no","yes",22,66,19.18,232.6,100,119,8.77,14.3,3,1,"no","yes",1.09861228866811
"1555","TX",92,"area_code_510","no","no",0,86,40.83,107.6,79,121,7.05,7.5,4,1,"no","no",1.38629436111989
"1556","OK",180,"area_code_415","no","no",0,121,24.4,189.3,111,82,7.87,8.8,5,3,"no","no",1.6094379124341
"1557","GA",77,"area_code_415","no","no",0,119,22.87,119.7,104,112,11.28,9.3,5,0,"no","no",1.6094379124341
"1558","KS",70,"area_code_415","no","no",0,114,37.88,215.9,113,122,10.06,0,0,1,"no","no",-Inf
"1559","MS",79,"area_code_415","no","no",0,94,27.47,187.5,110,71,9.94,10.3,7,2,"no","no",1.94591014905531
"1560","NJ",96,"area_code_510","no","no",0,122,25.5,218.5,116,89,9.56,9.8,1,3,"no","no",0
"1561","ME",113,"area_code_415","no","no",0,129,36.64,218.7,117,91,9.32,6.6,9,4,"no","no",2.19722457733622
"1562","VA",141,"area_code_415","no","no",0,110,36.91,241.5,111,103,11.41,12,6,0,"no","no",1.79175946922805
"1563","TX",159,"area_code_415","no","no",0,103,14.91,278.2,97,93,7.68,10.5,10,1,"no","no",2.30258509299405
"1564","AZ",43,"area_code_415","no","no",0,97,30.48,252.7,126,114,10.24,8,5,0,"no","no",1.6094379124341
"1565","AK",127,"area_code_510","no","yes",36,117,31.14,126.8,76,71,11.85,11.2,8,1,"no","yes",2.07944154167984
"1566","CT",116,"area_code_415","no","no",0,73,41.8,240.1,87,89,7.14,8.9,5,3,"no","no",1.6094379124341
"1567","TX",66,"area_code_415","no","yes",35,100,32.44,261.3,93,108,9.43,8.9,6,0,"no","yes",1.79175946922805
"1568","NY",119,"area_code_415","no","no",0,102,22.68,204.6,71,103,8.86,11.1,7,1,"no","no",1.94591014905531
"1569","WI",13,"area_code_510","no","no",0,117,28.46,223.5,102,108,9.71,9,3,1,"no","no",1.09861228866811
"1570","DC",148,"area_code_415","no","yes",11,129,42.99,284.3,88,99,11.83,12.3,1,1,"no","yes",0
"1571","WI",123,"area_code_415","no","no",0,92,29.27,162.6,76,101,11.26,8.7,4,1,"no","no",1.38629436111989
"1572","AR",87,"area_code_510","no","no",0,99,20.49,210,81,141,10.11,8.6,2,2,"no","no",0.693147180559945
"1573","OK",17,"area_code_408","no","no",0,121,30.67,228.5,111,99,8.98,14.8,5,0,"no","no",1.6094379124341
"1574","NV",69,"area_code_415","no","no",0,109,26.13,194,105,114,11.52,14.1,6,1,"no","no",1.79175946922805
"1575","LA",62,"area_code_415","no","no",0,94,31.76,207.6,92,98,8.78,8.8,4,3,"no","no",1.38629436111989
"1576","ID",46,"area_code_415","no","no",0,133,21.22,157.3,143,72,8.97,8.6,4,2,"no","no",1.38629436111989
"1577","AR",95,"area_code_415","no","no",0,79,11.8,190.8,109,102,9.9,8.9,5,0,"no","no",1.6094379124341
"1578","MI",108,"area_code_408","yes","no",0,114,19.57,211.3,70,85,6.12,13.8,3,2,"yes","no",1.09861228866811
"1579","OH",149,"area_code_408","no","no",0,108,33.37,136.8,96,87,6.96,7.7,3,2,"no","no",1.09861228866811
"1580","HI",146,"area_code_510","no","no",0,77,32.18,155.9,128,83,8.37,7.4,3,0,"no","no",1.09861228866811
"1581","KS",24,"area_code_510","no","no",0,91,41.31,183.9,77,109,8.29,15.3,6,0,"yes","no",1.79175946922805
"1582","AL",100,"area_code_408","no","yes",25,94,41.92,141.4,112,109,8.54,13,5,1,"no","yes",1.6094379124341
"1583","WI",72,"area_code_415","no","no",0,106,22.07,188.7,138,116,9.56,8.3,4,4,"yes","no",1.38629436111989
"1584","NM",119,"area_code_415","yes","yes",15,95,27.2,209.5,110,107,3.7,8.7,5,5,"yes","yes",1.6094379124341
"1585","AR",93,"area_code_415","no","no",0,91,22.42,203.8,92,121,9.25,6.8,3,1,"no","no",1.09861228866811
"1586","FL",151,"area_code_415","no","no",0,91,29.87,152.3,127,88,6.3,10.7,10,1,"no","no",2.30258509299405
"1587","NY",143,"area_code_415","no","no",0,85,28.66,176.3,89,69,12.7,13.3,10,1,"no","no",2.30258509299405
"1588","NY",90,"area_code_415","no","no",0,58,30.6,229.4,88,110,7.3,13.2,9,1,"no","no",2.19722457733622
"1589","MA",81,"area_code_510","no","no",0,77,37.54,148.5,87,100,8.28,7.6,3,2,"no","no",1.09861228866811
"1590","AK",136,"area_code_415","yes","yes",33,106,34.66,187.6,99,107,4.58,10.5,6,3,"no","yes",1.79175946922805
"1591","MN",85,"area_code_415","no","no",0,113,39.87,237.3,116,110,5.52,12.9,3,4,"no","no",1.09861228866811
"1592","AZ",109,"area_code_415","yes","no",0,85,45.63,150.6,131,84,13.41,9.7,8,2,"yes","no",2.07944154167984
"1593","SC",99,"area_code_415","no","no",0,102,29.6,99.1,118,126,9.52,7.7,2,2,"no","no",0.693147180559945
"1594","OR",37,"area_code_408","no","no",0,117,43.74,134.5,92,102,13.78,8.2,5,3,"no","no",1.6094379124341
"1595","ND",147,"area_code_408","no","no",0,95,34.9,166.7,128,84,10.83,7.8,4,1,"no","no",1.38629436111989
"1596","ND",98,"area_code_510","no","no",0,127,31.82,195.6,88,129,8.18,5.1,4,1,"no","no",1.38629436111989
"1597","NY",157,"area_code_415","no","no",0,111,38.17,200.7,99,118,5.25,11.5,2,2,"no","no",0.693147180559945
"1598","VA",114,"area_code_415","no","yes",34,64,19.47,229.3,84,68,13,10.4,16,0,"no","yes",2.77258872223978
"1599","AR",127,"area_code_415","yes","no",0,60,24.34,179.5,159,122,7.73,6.2,4,4,"yes","no",1.38629436111989
"1600","NV",138,"area_code_510","no","no",0,117,29.14,115.2,128,115,10.1,17,4,3,"no","no",1.38629436111989
"1601","NE",91,"area_code_510","no","yes",37,107,27.59,233.9,115,94,12.48,9.2,4,0,"no","yes",1.38629436111989
"1602","WI",41,"area_code_408","yes","yes",31,86,47.28,268.1,103,77,10.87,11.3,4,0,"no","yes",1.38629436111989
"1603","AL",77,"area_code_415","no","no",0,112,27.71,219.1,89,66,10.5,6.7,3,2,"no","no",1.09861228866811
"1604","KY",140,"area_code_408","no","yes",24,92,40.02,160.9,71,99,9.54,8.9,2,3,"no","yes",0.693147180559945
"1605","WV",88,"area_code_510","no","no",0,99,22.36,174.8,128,83,8.29,7.9,2,5,"yes","no",0.693147180559945
"1606","AK",146,"area_code_415","no","no",0,86,33.3,228.6,82,94,13.66,12.2,4,3,"no","no",1.38629436111989
"1607","AK",99,"area_code_510","no","no",0,96,40.53,246.5,130,117,8.93,12.4,4,3,"no","no",1.38629436111989
"1608","SC",117,"area_code_415","no","yes",35,100,32.42,209.7,107,101,9.11,12.4,5,1,"no","yes",1.6094379124341
"1609","MN",53,"area_code_415","no","no",0,106,27.9,206,56,124,8.76,11.4,2,1,"no","no",0.693147180559945
"1610","IN",189,"area_code_510","no","no",0,80,37.38,143.3,117,69,5.88,11.7,7,1,"no","no",1.94591014905531
"1611","RI",94,"area_code_415","no","no",0,95,23.7,159.1,92,129,5.77,7.7,3,0,"no","no",1.09861228866811
"1612","NH",130,"area_code_408","no","no",0,86,11.63,193.3,110,139,7.72,10.4,4,0,"no","no",1.38629436111989
"1613","KS",110,"area_code_415","yes","no",0,79,49.86,188.5,90,91,12.01,14.5,4,0,"yes","no",1.38629436111989
"1614","NJ",136,"area_code_415","yes","yes",22,115,27.25,273.2,88,89,9.14,11.7,2,0,"yes","yes",0.693147180559945
"1615","ID",104,"area_code_510","no","no",0,88,16.52,155.6,85,105,11.77,12.4,5,0,"no","no",1.6094379124341
"1616","NE",70,"area_code_415","no","no",0,86,36.28,204.7,77,101,11.55,5.7,4,1,"no","no",1.38629436111989
"1617","WV",7,"area_code_510","no","no",0,83,28.93,137.2,123,67,8.46,11.1,7,2,"no","no",1.94591014905531
"1618","WV",124,"area_code_415","no","no",0,112,53.04,180,109,94,7.59,12.8,4,1,"yes","no",1.38629436111989
"1619","IA",105,"area_code_510","no","yes",15,125,14.98,175.9,142,85,12.15,9.7,1,2,"no","yes",0
"1620","GA",86,"area_code_510","no","no",0,82,21.1,202.6,120,119,13.03,6.7,8,3,"no","no",2.07944154167984
"1621","WA",54,"area_code_415","no","yes",28,98,36.96,246.2,120,92,5.72,7.5,8,1,"no","yes",2.07944154167984
"1622","NY",104,"area_code_415","no","no",0,108,44.88,132.2,75,91,8,10.6,8,3,"no","no",2.07944154167984
"1623","CA",111,"area_code_408","no","no",0,109,42.47,242.4,106,78,10.43,11.6,4,0,"yes","no",1.38629436111989
"1624","IL",65,"area_code_510","no","no",0,89,32.64,139.5,88,102,8.43,5.5,4,2,"no","no",1.38629436111989
"1625","VA",25,"area_code_415","yes","no",0,51,35.99,225.2,74,95,8.88,12,3,0,"no","no",1.09861228866811
"1626","NM",122,"area_code_408","no","yes",23,85,22.81,227.3,132,96,5.51,8.5,2,2,"no","yes",0.693147180559945
"1627","NV",113,"area_code_415","no","yes",23,101,34.85,152,60,59,7.14,10.2,5,2,"no","yes",1.6094379124341
"1628","IL",87,"area_code_408","yes","yes",36,138,29.1,185.8,102,97,10.24,10.8,3,1,"no","yes",1.09861228866811
"1629","MD",105,"area_code_408","no","no",0,85,24.11,191.3,101,126,6.01,10.9,3,1,"no","no",1.09861228866811
"1630","DC",70,"area_code_415","no","no",0,145,25.98,183.6,102,75,6.83,10.5,2,1,"no","no",0.693147180559945
"1631","VA",163,"area_code_415","no","no",0,100,34.49,178.6,46,116,9.17,12.8,3,5,"no","no",1.09861228866811
"1632","AK",36,"area_code_415","yes","yes",19,96,29.22,198.4,111,76,14.48,10.5,1,1,"yes","yes",0
